SID,NAME,ISO_TIME,YEAR,MONTH,LAT,LON,WMO_WIND,WIND_KMH,WMO_PRES,TYPHOON_GRADE
20220N07W,Trases,2020-12-11 21:00:00,2020,12,16.38,104.5,112,207.4,931,Siêu bão
20217N06W,DOKSURI,2017-10-21 03:00:00,2017,10,18.11,117.02,31,57.4,985,Bão nhiệt đới
20222N01W,MOLAVE,2022-12-01 09:00:00,2022,12,16.56,102.11,118,218.5,929,Siêu bão
20219N06W,YAGI,2019-06-16 18:00:00,2019,6,14.38,114.56,80,148.2,949,Bão mạnh
20221N01W,VAMCO,2021-12-25 06:00:00,2021,12,20.04,112.88,102,188.9,936,Siêu bão
20224N03W,GONONI,2024-08-07 09:00:00,2024,8,14.93,102.55,107,198.2,934,Siêu bão
20223N09W,RAI,2023-08-08 09:00:00,2023,8,12.36,110.32,33,61.1,987,Bão nhiệt đới
20220N03W,TALIM,2020-09-14 18:00:00,2020,9,15.29,117.38,114,211.1,932,Siêu bão
20223N08W,KETSANA,2023-10-15 12:00:00,2023,10,16.21,117.44,89,164.8,944,Bão rất mạnh
20216N06W,VAMCO,2016-08-25 18:00:00,2016,8,13.93,108.32,37,68.5,984,Bão nhiệt đới
20224N07W,MOLAVE,2024-06-19 00:00:00,2024,6,17.96,114.64,34,63.0,986,Bão nhiệt đới
20218N01W,GONONI,2018-11-08 09:00:00,2018,11,12.63,103.02,52,96.3,975,Bão nhiệt đới
20221N08W,TALIM,2021-09-03 09:00:00,2021,9,16.93,116.2,94,174.1,945,Bão rất mạnh
20215N03W,DOKSURI,2015-10-26 18:00:00,2015,10,18.79,109.9,38,70.4,983,Bão nhiệt đới
20223N07W,RAI,2023-09-10 09:00:00,2023,9,9.51,102.5,81,150.0,958,Bão rất mạnh
20217N05W,YAGI,2017-10-15 06:00:00,2017,10,10.84,117.09,100,185.2,941,Siêu bão
20221N05W,MOLAVE,2021-10-02 03:00:00,2021,10,19.31,112.13,35,64.8,981,Bão nhiệt đới
20224N03W,GONONI,2024-11-11 21:00:00,2024,11,19.3,116.34,91,168.5,945,Bão rất mạnh
20215N01W,VAMCO,2015-08-25 09:00:00,2015,8,12.94,106.88,99,183.3,932,Bão rất mạnh
20219N01W,TALIM,2019-10-10 09:00:00,2019,10,11.42,104.69,61,113.0,968,Bão mạnh
20224N07W,MOLAVE,2024-10-17 15:00:00,2024,10,21.6,117.4,68,125.9,956,Bão mạnh
20221N02W,YAGI,2021-06-17 03:00:00,2021,6,15.04,102.82,30,55.6,988,Bão nhiệt đới
20217N01W,KETSANA,2017-10-21 09:00:00,2017,10,14.27,110.85,97,179.6,941,Bão rất mạnh
20216N08W,VAMCO,2016-10-24 12:00:00,2016,10,16.85,112.14,40,74.1,979,Bão nhiệt đới
20216N07W,TALIM,2016-10-27 15:00:00,2016,10,17.74,115.73,88,163.0,950,Bão rất mạnh
20217N01W,KETSANA,2017-09-07 09:00:00,2017,9,21.17,108.36,68,125.9,959,Bão mạnh
20224N01W,DOKSURI,2024-10-11 09:00:00,2024,10,18.29,105.35,60,111.1,966,Bão mạnh
20216N07W,TALIM,2016-10-25 09:00:00,2016,10,15.42,105.87,77,142.6,957,Bão mạnh
20216N03W,KETSANA,2016-09-27 18:00:00,2016,9,12.75,107.59,77,142.6,956,Bão mạnh
20220N09W,VAMCO,2020-10-24 09:00:00,2020,10,9.18,104.59,67,124.1,963,Bão mạnh
20224N03W,GONONI,2024-09-16 15:00:00,2024,9,21.16,117.58,47,87.0,977,Bão nhiệt đới
20220N09W,VAMCO,2020-09-09 09:00:00,2020,9,17.97,105.8,50,92.6,971,Bão nhiệt đới
20220N03W,TALIM,2020-10-08 18:00:00,2020,10,18.09,106.93,77,142.6,955,Bão mạnh
20217N04W,VAMCO,2017-08-06 15:00:00,2017,8,13.5,116.27,56,103.7,968,Bão mạnh
20217N09W,NORU,2017-10-01 09:00:00,2017,10,17.36,115.83,90,166.7,955,Bão rất mạnh
20222N01W,MOLAVE,2022-10-17 09:00:00,2022,10,21.17,117.26,35,64.8,985,Bão nhiệt đới
20219N01W,TALIM,2019-11-17 15:00:00,2019,11,21.53,117.42,92,170.4,942,Bão rất mạnh
20218N06W,NORU,2018-09-18 00:00:00,2018,9,13.53,115.51,96,177.8,941,Bão rất mạnh
20220N01W,RAI,2020-07-15 15:00:00,2020,7,13.02,106.07,31,57.4,990,Bão nhiệt đới
20215N09W,MOLAVE,2015-10-16 18:00:00,2015,10,12.11,114.95,79,146.3,953,Bão mạnh
20217N07W,DOKSURI,2017-10-26 18:00:00,2017,10,15.02,114.77,94,174.1,943,Bão rất mạnh
20216N05W,RAI,2016-11-23 18:00:00,2016,11,13.26,103.5,116,214.8,926,Siêu bão
20221N09W,RAI,2021-06-25 03:00:00,2021,6,15.6,106.58,87,161.1,947,Bão rất mạnh
20219N06W,YAGI,2019-10-22 06:00:00,2019,10,9.78,110.36,82,151.9,954,Bão rất mạnh
20221N06W,KETSANA,2021-08-05 18:00:00,2021,8,9.19,102.83,76,140.8,954,Bão mạnh
20216N07W,TALIM,2016-12-10 15:00:00,2016,12,8.57,108.38,48,88.9,977,Bão nhiệt đới
20221N04W,NORU,2021-07-05 03:00:00,2021,7,21.48,115.38,38,70.4,982,Bão nhiệt đới
20215N01W,VAMCO,2015-09-22 21:00:00,2015,9,10.56,116.95,30,55.6,989,Bão nhiệt đới
20216N07W,TALIM,2016-09-05 15:00:00,2016,9,18.22,102.76,55,101.9,975,Bão nhiệt đới
20221N03W,XANGSANE,2021-09-05 18:00:00,2021,9,8.57,115.69,98,181.5,939,Bão rất mạnh
20223N04W,NORU,2023-06-26 21:00:00,2023,6,19.3,107.54,52,96.3,972,Bão nhiệt đới
20216N01W,KETSANA,2016-10-26 21:00:00,2016,10,19.99,112.54,33,61.1,988,Bão nhiệt đới
20216N07W,TALIM,2016-07-23 03:00:00,2016,7,8.37,111.37,113,209.3,925,Siêu bão
20218N06W,NORU,2018-09-19 06:00:00,2018,9,21.18,108.18,62,114.8,970,Bão mạnh
20219N04W,VAMCO,2019-11-12 12:00:00,2019,11,8.97,103.61,31,57.4,988,Bão nhiệt đới
20224N06W,NORU,2024-07-08 12:00:00,2024,7,19.83,102.37,63,116.7,964,Bão mạnh
20215N07W,GONONI,2015-07-21 03:00:00,2015,7,16.81,116.04,65,120.4,965,Bão mạnh
20218N09W,XANGSANE,2018-08-09 21:00:00,2018,8,19.3,117.85,65,120.4,964,Bão mạnh
20224N01W,DOKSURI,2024-08-24 18:00:00,2024,8,21.03,115.73,84,155.6,953,Bão rất mạnh
20218N03W,RAI,2018-11-20 21:00:00,2018,11,13.45,106.76,48,88.9,978,Bão nhiệt đới
20220N04W,DOKSURI,2020-07-09 06:00:00,2020,7,9.28,107.11,107,198.2,934,Siêu bão
20216N07W,TALIM,2016-09-03 09:00:00,2016,9,12.6,112.76,82,151.9,958,Bão rất mạnh
20217N05W,YAGI,2017-10-07 12:00:00,2017,10,21.03,117.59,43,79.6,973,Bão nhiệt đới
20224N06W,NORU,2024-09-11 03:00:00,2024,9,21.56,113.01,87,161.1,954,Bão rất mạnh
20216N08W,VAMCO,2016-07-07 15:00:00,2016,7,17.81,103.16,79,146.3,949,Bão mạnh
20215N08W,YAGI,2015-09-01 15:00:00,2015,9,19.38,117.16,118,218.5,927,Siêu bão
20219N09W,GONONI,2019-10-06 09:00:00,2019,10,9.17,114.43,83,153.7,948,Bão rất mạnh
20217N01W,KETSANA,2017-07-03 12:00:00,2017,7,8.16,109.5,87,161.1,951,Bão rất mạnh
20217N02W,RAI,2017-07-09 18:00:00,2017,7,18.44,111.33,91,168.5,944,Bão rất mạnh
20217N07W,DOKSURI,2017-11-06 12:00:00,2017,11,21.49,102.19,61,113.0,959,Bão mạnh
20219N09W,GONONI,2019-06-21 21:00:00,2019,6,15.39,117.89,65,120.4,965,Bão mạnh
20216N09W,XANGSANE,2016-08-17 15:00:00,2016,8,12.12,117.93,83,153.7,952,Bão rất mạnh
20215N03W,DOKSURI,2015-11-25 06:00:00,2015,11,11.93,117.21,101,187.1,936,Siêu bão
20215N08W,YAGI,2015-08-04 03:00:00,2015,8,13.44,105.67,57,105.6,969,Bão mạnh
20219N05W,DOKSURI,2019-08-27 15:00:00,2019,8,8.45,106.48,113,209.3,926,Siêu bão
20216N04W,XANGSANE,2016-11-06 03:00:00,2016,11,13.83,111.3,54,100.0,974,Bão nhiệt đới
20222N03W,NORU,2022-07-18 06:00:00,2022,7,8.63,102.42,62,114.8,966,Bão mạnh
20220N04W,DOKSURI,2020-09-26 18:00:00,2020,9,13.5,115.27,78,144.5,959,Bão mạnh
20223N05W,KETSANA,2023-07-09 06:00:00,2023,7,9.87,102.22,84,155.6,951,Bão rất mạnh
20215N05W,NORU,2015-12-21 18:00:00,2015,12,18.77,117.12,103,190.8,938,Siêu bão
20224N02W,NORU,2024-08-14 00:00:00,2024,8,9.81,117.26,106,196.3,936,Siêu bão
20218N05W,VAMCO,2018-06-08 18:00:00,2018,6,17.4,110.32,32,59.3,986,Bão nhiệt đới
20220N05W,XANGSANE,2020-11-22 09:00:00,2020,11,15.85,116.03,86,159.3,948,Bão rất mạnh
20217N05W,YAGI,2017-10-21 15:00:00,2017,10,17.86,105.41,67,124.1,970,Bão mạnh
20222N01W,MOLAVE,2022-06-06 03:00:00,2022,6,16.26,108.28,80,148.2,953,Bão mạnh
20219N02W,MOLAVE,2019-09-15 09:00:00,2019,9,12.17,110.38,110,203.7,935,Siêu bão
20215N05W,NORU,2015-10-10 21:00:00,2015,10,19.79,114.3,113,209.3,932,Siêu bão
20220N08W,TALIM,2020-09-11 06:00:00,2020,9,11.36,103.21,52,96.3,973,Bão nhiệt đới
20221N01W,VAMCO,2021-09-11 15:00:00,2021,9,17.77,104.88,33,61.1,989,Bão nhiệt đới
20222N04W,GONONI,2022-09-18 12:00:00,2022,9,10.69,102.65,34,63.0,985,Bão nhiệt đới
20224N01W,DOKSURI,2024-08-22 12:00:00,2024,8,15.68,110.55,41,75.9,979,Bão nhiệt đới
20223N06W,VAMCO,2023-09-27 00:00:00,2023,9,9.29,109.7,115,213.0,925,Siêu bão
20221N02W,YAGI,2021-11-16 12:00:00,2021,11,8.04,115.89,37,68.5,981,Bão nhiệt đới
20223N07W,RAI,2023-09-24 15:00:00,2023,9,11.31,114.16,107,198.2,936,Siêu bão
20224N07W,MOLAVE,2024-10-26 15:00:00,2024,10,10.07,104.13,32,59.3,987,Bão nhiệt đới
20216N09W,XANGSANE,2016-09-03 06:00:00,2016,9,11.39,106.31,57,105.6,973,Bão mạnh
20223N02W,YAGI,2023-09-17 18:00:00,2023,9,9.25,110.57,54,100.0,972,Bão nhiệt đới
20222N05W,NORU,2022-09-09 12:00:00,2022,9,14.71,111.35,115,213.0,932,Siêu bão
20218N07W,DOKSURI,2018-09-08 00:00:00,2018,9,15.9,108.06,35,64.8,986,Bão nhiệt đới
